Date,Title,Event,Location,Presentation,Contribution,Link
25/07/2026,Analysing the African Air Transport Network Structure,African Data Science Conference,"Johannesburg, South Africa",Contributed talk,Presenting author,https://africandatascienceconference.com/
07/07/2025,Feature Engineering for Tennis Match Outcome Prediction,"Data Science, Statistics and Visualistion Conference 2025","Skukuza, South Africa",Invited talk,Presenting author,https://iasc-isi.org/dssv2025/
02/07/2019,Blended Learning Introductory Statistics - Lessons from Five Years of Application at the University of Cape Town in Context of a Socioeconomically Diverse Student Body,"13th Annual International Conference on Mathematics & Statistics: Teaching, Theory & Applications","Athens, Greece",Contributed talk,Presenting author,https://www.atiner.gr/statistics
23/05/2016,A Blended Learning Approach to Teaching Introductory Statistics through Sakai,Open Apereo Conference,"New York, US",Invited talk,Presenting author,https://youtu.be/9jonFfu7_uQ?si=luKLsiV5eyrtoj-k
04/11/2015,Teaching Introductory Statistics to 1400 students using online Lessons,Sakai Virtual Conference,Online,Contributed talk,Presenting author,https://studylib.net/doc/8176248/sakai-virtual-conference-2015
